1_0_19_4B4_7E8_2_11A0000_0_0_0          |  BBC One Sth HD                    |  4B4_7E8_2_11A0000=--------                        |  bbc one sth hd=bbcone
1_0_19_2865_7FE_2_11A0000_0_0_0         |  BBC One SW HD                     |  2865_7FE_2_11A0000=--------                       |  bbc one sw hd=bbcone
1_0_19_22CF_80D_2_11A0000_0_0_0         |  BBC One Wal HD                    |  22CF_80D_2_11A0000=--------                       |  bbc one wal hd=bbconewales
1_0_19_22ED_80D_2_11A0000_0_0_0         |  BBC One WM HD                     |  22ED_80D_2_11A0000=--------                       |  bbc one wm hd=bbcone
1_0_19_285B_7FE_2_11A0000_0_0_0         |  BBC One Wst HD                    |  285B_7FE_2_11A0000=--------                       |  bbc one wst hd=bbcone
1_0_19_18E3_7FD_2_11A0000_0_0_0         |  BBC One Yks HD                    |  18E3_7FD_2_11A0000=--------                       |  bbc one yks hd=bbcone
1_0_19_1AFF_802_2_11A0000_0_0_0         |  BBC One Y&L HD                    |  1AFF_802_2_11A0000=--------                       |  bbc one y&l hd=bbcone
1_0_19_18A4_7FD_2_11A0000_0_0_0         |  BBC Parl HD                       |  18A4_7FD_2_11A0000=--------                       |  bbc parl hd=bbcparliament
1_0_1_1280_1044_233A_EEEE0000_0_0_0     |  BBC Parliament                    |  1280_1044_233A_EEEE0000=--------                  |  bbc parliament=bbcparliament
1_0_2_2301_80D_2_11A0000_0_0_0          |  BBC R1                            |  2301_80D_2_11A0000=--------                       |  bbc r1=bbcradio1
1_0_2_1700_1044_233A_EEEE0000_0_0_0     |  BBC R1X                           |  1700_1044_233A_EEEE0000=--------                  |  bbc r1x=bbcradio1xtra
1_0_2_18C4_7FD_2_11A0000_0_0_0          |  BBC R1X                           |  18C4_7FD_2_11A0000=--------                       |  bbc r1x=bbcradio1xtra
1_0_2_2302_80D_2_11A0000_0_0_0          |  BBC R2                            |  2302_80D_2_11A0000=--------                       |  bbc r2=bbcradio2
1_0_2_2303_80D_2_11A0000_0_0_0          |  BBC R3                            |  2303_80D_2_11A0000=--------                       |  bbc r3=bbcradio3
1_0_2_2304_80D_2_11A0000_0_0_0          |  BBC R4                            |  2304_80D_2_11A0000=--------                       |  bbc r4=bbcradio4
1_0_2_2863_7FE_2_11A0000_0_0_0          |  BBC R4 Extra                      |  2863_7FE_2_11A0000=--------                       |  bbc r4 extra=bbcradio4extra
1_0_2_1600_1044_233A_EEEE0000_0_0_0     |  BBC R5L                           |  1600_1044_233A_EEEE0000=--------                  |  bbc r5l=bbcradio5live
1_0_2_2305_80D_2_11A0000_0_0_0          |  BBC R5L                           |  2305_80D_2_11A0000=--------                       |  bbc r5l=bbcradio5live
1_0_2_1640_1044_233A_EEEE0000_0_0_0     |  BBC R5SX                          |  1640_1044_233A_EEEE0000=--------                  |  bbc r5sx=bbcradio5sportsextra
1_0_2_18C3_7FD_2_11A0000_0_0_0          |  BBC R5SX                          |  18C3_7FD_2_11A0000=--------                       |  bbc r5sx=bbcradio5sportsextra
1_0_2_2860_7FE_2_11A0000_0_0_0          |  BBC R6 Music                      |  2860_7FE_2_11A0000=--------                       |  bbc r6 music=bbcradio6music
1_0_2_1A40_1044_233A_EEEE0000_0_0_0     |  BBC Radio 1                       |  1A40_1044_233A_EEEE0000=--------                  |  bbc radio 1=bbcradio1
1_0_2_4705_840_600_FFFF0000_0_0_0       |  BBC Radio 1                       |  4705_840_600_FFFF0000=--------                    |  bbc radio 1=bbcradio1
1_0_2_1A80_1044_233A_EEEE0000_0_0_0     |  BBC Radio 2                       |  1A80_1044_233A_EEEE0000=--------                  |  bbc radio 2=bbcradio2
1_0_2_4706_840_600_FFFF0000_0_0_0       |  BBC Radio 2                       |  4706_840_600_FFFF0000=--------                    |  bbc radio 2=bbcradio2
1_0_2_1AC0_1044_233A_EEEE0000_0_0_0     |  BBC Radio 3                       |  1AC0_1044_233A_EEEE0000=--------                  |  bbc radio 3=bbcradio3
1_0_2_4707_840_600_FFFF0000_0_0_0       |  BBC Radio 3                       |  4707_840_600_FFFF0000=--------                    |  bbc radio 3=bbcradio3
1_0_2_1B00_1044_233A_EEEE0000_0_0_0     |  BBC Radio 4                       |  1B00_1044_233A_EEEE0000=--------                  |  bbc radio 4=bbcradio4
1_0_2_4708_840_600_FFFF0000_0_0_0       |  BBC Radio 4                       |  4708_840_600_FFFF0000=--------                    |  bbc radio 4=bbcradio4
1_0_2_16C0_1044_233A_EEEE0000_0_0_0     |  BBC Radio 4 Ex                    |  16C0_1044_233A_EEEE0000=--------                  |  bbc radio 4 ex=bbcradio4extra
1_0_2_1804_1044_233A_EEEE0000_0_0_0     |  BBC Radio London                  |  1804_1044_233A_EEEE0000=--------                  |  bbc radio london=bbcradiolondon
1_0_1_1C00_1044_233A_EEEE0000_0_0_0     |  BBC RB 1                          |  1C00_1044_233A_EEEE0000=--------                  |  bbc rb 1=bbcredbutton
1_0_19_2859_7FE_2_11A0000_0_0_0         |  BBC RB 1 HD                       |  2859_7FE_2_11A0000=--------                       |  bbc rb 1 hd=bbcredbutton
1_0_2_285C_7FE_2_11A0000_0_0_0          |  BBC R Cymru                       |  285C_7FE_2_11A0000=--------                       |  bbc r cymru=bbcradiocymru
1_0_2_18EF_7FD_2_11A0000_0_0_0          |  BBC R Cymru 2                     |  18EF_7FD_2_11A0000=--------                       |  bbc r cymru 2=bbcradiocymru2
1_0_1_1140_1044_233A_EEEE0000_0_0_0     |  BBC Red Button                    |  1140_1044_233A_EEEE0000=--------                  |  bbc red button=bbcredbutton
1_0_2_2880_800_2_11A0000_0_0_0          |  BBC R Foyle                       |  2880_800_2_11A0000=--------                       |  bbc r foyle=bbcradiofoyle
1_0_2_18F5_7FD_2_11A0000_0_0_0          |  BBC R London                      |  18F5_7FD_2_11A0000=--------                       |  bbc r london=bbcradiolondon
